session_id,view_id,target_count,targets,target_00_path,target_01_path,target_02_path,complete_00_01_02,teacher_D01,teacher_D12,teacher_D02
auto_capture_20260701_165437,53,3,00;01;02,auto_capture_20260701_165437/images/view_0053_target_00.tif,auto_capture_20260701_165437/images/view_0053_target_01.tif,auto_capture_20260701_165437/images/view_0053_target_02.tif,True,True,True,True
auto_capture_20260701_165437,54,3,00;01;02,auto_capture_20260701_165437/images/view_0054_target_00.tif,auto_capture_20260701_165437/images/view_0054_target_01.tif,auto_capture_20260701_165437/images/view_0054_target_02.tif,True,True,True,True
auto_capture_20260701_165437,55,3,00;01;02,auto_capture_20260701_165437/images/view_0055_target_00.tif,auto_capture_20260701_165437/images/view_0055_target_01.tif,auto_capture_20260701_165437/images/view_0055_target_02.tif,True,True,True,True
auto_capture_20260701_165437,56,3,00;01;02,auto_capture_20260701_165437/images/view_0056_target_00.tif,auto_capture_20260701_165437/images/view_0056_target_01.tif,auto_capture_20260701_165437/images/view_0056_target_02.tif,True,True,True,True
auto_capture_20260701_165437,57,3,00;01;02,auto_capture_20260701_165437/images/view_0057_target_00.tif,auto_capture_20260701_165437/images/view_0057_target_01.tif,auto_capture_20260701_165437/images/view_0057_target_02.tif,True,True,True,True
auto_capture_20260701_165437,58,3,00;01;02,auto_capture_20260701_165437/images/view_0058_target_00.tif,auto_capture_20260701_165437/images/view_0058_target_01.tif,auto_capture_20260701_165437/images/view_0058_target_02.tif,True,True,True,True
auto_capture_20260701_165437,59,3,00;01;02,auto_capture_20260701_165437/images/view_0059_target_00.tif,auto_capture_20260701_165437/images/view_0059_target_01.tif,auto_capture_20260701_165437/images/view_0059_target_02.tif,True,True,True,True
auto_capture_20260701_165437,60,3,00;01;02,auto_capture_20260701_165437/images/view_0060_target_00.tif,auto_capture_20260701_165437/images/view_0060_target_01.tif,auto_capture_20260701_165437/images/view_0060_target_02.tif,True,True,True,True
auto_capture_20260701_165437,61,3,00;01;02,auto_capture_20260701_165437/images/view_0061_target_00.tif,auto_capture_20260701_165437/images/view_0061_target_01.tif,auto_capture_20260701_165437/images/view_0061_target_02.tif,True,True,True,True
auto_capture_20260701_165437,62,3,00;01;02,auto_capture_20260701_165437/images/view_0062_target_00.tif,auto_capture_20260701_165437/images/view_0062_target_01.tif,auto_capture_20260701_165437/images/view_0062_target_02.tif,True,True,True,True
auto_capture_20260701_165437,63,3,00;01;02,auto_capture_20260701_165437/images/view_0063_target_00.tif,auto_capture_20260701_165437/images/view_0063_target_01.tif,auto_capture_20260701_165437/images/view_0063_target_02.tif,True,True,True,True
auto_capture_20260701_165437,64,3,00;01;02,auto_capture_20260701_165437/images/view_0064_target_00.tif,auto_capture_20260701_165437/images/view_0064_target_01.tif,auto_capture_20260701_165437/images/view_0064_target_02.tif,True,True,True,True
auto_capture_20260701_165437,65,3,00;01;02,auto_capture_20260701_165437/images/view_0065_target_00.tif,auto_capture_20260701_165437/images/view_0065_target_01.tif,auto_capture_20260701_165437/images/view_0065_target_02.tif,True,True,True,True
auto_capture_20260701_165437,66,3,00;01;02,auto_capture_20260701_165437/images/view_0066_target_00.tif,auto_capture_20260701_165437/images/view_0066_target_01.tif,auto_capture_20260701_165437/images/view_0066_target_02.tif,True,True,True,True
auto_capture_20260701_165437,67,3,00;01;02,auto_capture_20260701_165437/images/view_0067_target_00.tif,auto_capture_20260701_165437/images/view_0067_target_01.tif,auto_capture_20260701_165437/images/view_0067_target_02.tif,True,True,True,True
auto_capture_20260701_165437,68,3,00;01;02,auto_capture_20260701_165437/images/view_0068_target_00.tif,auto_capture_20260701_165437/images/view_0068_target_01.tif,auto_capture_20260701_165437/images/view_0068_target_02.tif,True,True,True,True
auto_capture_20260701_165437,69,3,00;01;02,auto_capture_20260701_165437/images/view_0069_target_00.tif,auto_capture_20260701_165437/images/view_0069_target_01.tif,auto_capture_20260701_165437/images/view_0069_target_02.tif,True,True,True,True
auto_capture_20260701_165437,70,3,00;01;02,auto_capture_20260701_165437/images/view_0070_target_00.tif,auto_capture_20260701_165437/images/view_0070_target_01.tif,auto_capture_20260701_165437/images/view_0070_target_02.tif,True,True,True,True
auto_capture_20260701_165437,71,3,00;01;02,auto_capture_20260701_165437/images/view_0071_target_00.tif,auto_capture_20260701_165437/images/view_0071_target_01.tif,auto_capture_20260701_165437/images/view_0071_target_02.tif,True,True,True,True
auto_capture_20260701_165437,72,3,00;01;02,auto_capture_20260701_165437/images/view_0072_target_00.tif,auto_capture_20260701_165437/images/view_0072_target_01.tif,auto_capture_20260701_165437/images/view_0072_target_02.tif,True,True,True,True
auto_capture_20260701_165437,73,3,00;01;02,auto_capture_20260701_165437/images/view_0073_target_00.tif,auto_capture_20260701_165437/images/view_0073_target_01.tif,auto_capture_20260701_165437/images/view_0073_target_02.tif,True,True,True,True
auto_capture_20260701_165437,74,3,00;01;02,auto_capture_20260701_165437/images/view_0074_target_00.tif,auto_capture_20260701_165437/images/view_0074_target_01.tif,auto_capture_20260701_165437/images/view_0074_target_02.tif,True,True,True,True
auto_capture_20260701_165437,75,3,00;01;02,auto_capture_20260701_165437/images/view_0075_target_00.tif,auto_capture_20260701_165437/images/view_0075_target_01.tif,auto_capture_20260701_165437/images/view_0075_target_02.tif,True,True,True,True
auto_capture_20260701_165437,76,3,00;01;02,auto_capture_20260701_165437/images/view_0076_target_00.tif,auto_capture_20260701_165437/images/view_0076_target_01.tif,auto_capture_20260701_165437/images/view_0076_target_02.tif,True,True,True,True
auto_capture_20260701_165437,77,3,00;01;02,auto_capture_20260701_165437/images/view_0077_target_00.tif,auto_capture_20260701_165437/images/view_0077_target_01.tif,auto_capture_20260701_165437/images/view_0077_target_02.tif,True,True,True,True
auto_capture_20260701_165437,78,3,00;01;02,auto_capture_20260701_165437/images/view_0078_target_00.tif,auto_capture_20260701_165437/images/view_0078_target_01.tif,auto_capture_20260701_165437/images/view_0078_target_02.tif,True,True,True,True
auto_capture_20260701_165437,79,3,00;01;02,auto_capture_20260701_165437/images/view_0079_target_00.tif,auto_capture_20260701_165437/images/view_0079_target_01.tif,auto_capture_20260701_165437/images/view_0079_target_02.tif,True,True,True,True
auto_capture_20260701_165437,80,3,00;01;02,auto_capture_20260701_165437/images/view_0080_target_00.tif,auto_capture_20260701_165437/images/view_0080_target_01.tif,auto_capture_20260701_165437/images/view_0080_target_02.tif,True,True,True,True
auto_capture_20260701_165437,81,3,00;01;02,auto_capture_20260701_165437/images/view_0081_target_00.tif,auto_capture_20260701_165437/images/view_0081_target_01.tif,auto_capture_20260701_165437/images/view_0081_target_02.tif,True,True,True,True
auto_capture_20260701_165437,82,3,00;01;02,auto_capture_20260701_165437/images/view_0082_target_00.tif,auto_capture_20260701_165437/images/view_0082_target_01.tif,auto_capture_20260701_165437/images/view_0082_target_02.tif,True,True,True,True
auto_capture_20260701_165437,83,3,00;01;02,auto_capture_20260701_165437/images/view_0083_target_00.tif,auto_capture_20260701_165437/images/view_0083_target_01.tif,auto_capture_20260701_165437/images/view_0083_target_02.tif,True,True,True,True
auto_capture_20260701_165437,84,3,00;01;02,auto_capture_20260701_165437/images/view_0084_target_00.tif,auto_capture_20260701_165437/images/view_0084_target_01.tif,auto_capture_20260701_165437/images/view_0084_target_02.tif,True,True,True,True
