session_id,relative_path,file_name,extension,file_size_bytes,is_image,view_id,target_index,shape,dtype,base_x_mm,base_y_mm,target_x_mm,target_y_mm,offset_mm,min,max,mean,sat_ratio,status
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0012_target_01.tif,view_0012_target_01.tif,.tif,6324480,True,12.0,1.0,1544x2048,uint16,-65.5,-9.86,-65.6,-9.86,-0.1,801.0,1460.0,1100.4910888671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0012_target_02.tif,view_0012_target_02.tif,.tif,6324480,True,12.0,2.0,1544x2048,uint16,-65.5,-9.86,-65.7,-9.86,-0.2,802.0,1523.0,1100.459228515625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0013_target_00.tif,view_0013_target_00.tif,.tif,6324480,True,13.0,0.0,1544x2048,uint16,-78.6,-9.86,-78.6,-9.86,0.0,799.0,1502.0,1099.126953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0013_target_01.tif,view_0013_target_01.tif,.tif,6324480,True,13.0,1.0,1544x2048,uint16,-78.6,-9.86,-78.7,-9.86,-0.1,802.0,1519.0,1100.0902099609375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0013_target_02.tif,view_0013_target_02.tif,.tif,6324480,True,13.0,2.0,1544x2048,uint16,-78.6,-9.86,-78.8,-9.86,-0.2,799.0,1472.0,1098.9677734375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0014_target_00.tif,view_0014_target_00.tif,.tif,6324480,True,14.0,0.0,1544x2048,uint16,0.0,-19.72,0.0,-19.72,0.0,1002.0,1761.0,1391.681396484375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0014_target_01.tif,view_0014_target_01.tif,.tif,6324480,True,14.0,1.0,1544x2048,uint16,0.0,-19.72,-0.1,-19.72,-0.1,1002.0,1724.0,1391.584716796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0014_target_02.tif,view_0014_target_02.tif,.tif,6324480,True,14.0,2.0,1544x2048,uint16,0.0,-19.72,-0.2,-19.72,-0.2,1003.0,1722.0,1391.5828857421875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0015_target_00.tif,view_0015_target_00.tif,.tif,6324480,True,15.0,0.0,1544x2048,uint16,-13.1,-19.72,-13.1,-19.72,0.0,1003.0,1730.0,1391.458251953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0015_target_01.tif,view_0015_target_01.tif,.tif,6324480,True,15.0,1.0,1544x2048,uint16,-13.1,-19.72,-13.2,-19.72,-0.1,1002.0,1732.0,1391.4075927734375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0015_target_02.tif,view_0015_target_02.tif,.tif,6324480,True,15.0,2.0,1544x2048,uint16,-13.1,-19.72,-13.3,-19.72,-0.2,1000.0,1718.0,1390.3558349609375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0016_target_00.tif,view_0016_target_00.tif,.tif,6324480,True,16.0,0.0,1544x2048,uint16,-26.2,-19.72,-26.2,-19.72,0.0,855.0,1749.0,1324.9111328125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0016_target_01.tif,view_0016_target_01.tif,.tif,6324480,True,16.0,1.0,1544x2048,uint16,-26.2,-19.72,-26.3,-19.72,-0.1,858.0,1757.0,1324.280029296875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0016_target_02.tif,view_0016_target_02.tif,.tif,6324480,True,16.0,2.0,1544x2048,uint16,-26.2,-19.72,-26.4,-19.72,-0.2,857.0,1757.0,1322.6268310546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0017_target_00.tif,view_0017_target_00.tif,.tif,6324480,True,17.0,0.0,1544x2048,uint16,-39.3,-19.72,-39.3,-19.72,0.0,841.0,1485.0,1114.5953369140625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0017_target_01.tif,view_0017_target_01.tif,.tif,6324480,True,17.0,1.0,1544x2048,uint16,-39.3,-19.72,-39.4,-19.72,-0.1,838.0,1493.0,1113.9080810546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0017_target_02.tif,view_0017_target_02.tif,.tif,6324480,True,17.0,2.0,1544x2048,uint16,-39.3,-19.72,-39.5,-19.72,-0.2,840.0,1471.0,1113.2625732421875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0018_target_00.tif,view_0018_target_00.tif,.tif,6324480,True,18.0,0.0,1544x2048,uint16,-52.4,-19.72,-52.4,-19.72,0.0,801.0,1485.0,1099.739013671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0018_target_01.tif,view_0018_target_01.tif,.tif,6324480,True,18.0,1.0,1544x2048,uint16,-52.4,-19.72,-52.5,-19.72,-0.1,800.0,1489.0,1099.755126953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0018_target_02.tif,view_0018_target_02.tif,.tif,6324480,True,18.0,2.0,1544x2048,uint16,-52.4,-19.72,-52.6,-19.72,-0.2,802.0,1479.0,1100.7056884765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0019_target_00.tif,view_0019_target_00.tif,.tif,6324480,True,19.0,0.0,1544x2048,uint16,-65.5,-19.72,-65.5,-19.72,0.0,800.0,1508.0,1099.92626953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0019_target_01.tif,view_0019_target_01.tif,.tif,6324480,True,19.0,1.0,1544x2048,uint16,-65.5,-19.72,-65.6,-19.72,-0.1,800.0,1504.0,1098.90185546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0019_target_02.tif,view_0019_target_02.tif,.tif,6324480,True,19.0,2.0,1544x2048,uint16,-65.5,-19.72,-65.7,-19.72,-0.2,799.0,1476.0,1099.839111328125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0020_target_00.tif,view_0020_target_00.tif,.tif,6324480,True,20.0,0.0,1544x2048,uint16,-78.6,-19.72,-78.6,-19.72,0.0,798.0,1508.0,1097.7379150390625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0020_target_01.tif,view_0020_target_01.tif,.tif,6324480,True,20.0,1.0,1544x2048,uint16,-78.6,-19.72,-78.7,-19.72,-0.1,800.0,1495.0,1098.744384765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0020_target_02.tif,view_0020_target_02.tif,.tif,6324480,True,20.0,2.0,1544x2048,uint16,-78.6,-19.72,-78.8,-19.72,-0.2,800.0,1495.0,1098.698486328125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0021_target_00.tif,view_0021_target_00.tif,.tif,6324480,True,21.0,0.0,1544x2048,uint16,0.0,-29.58,0.0,-29.58,0.0,999.0,1751.0,1389.931640625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0021_target_01.tif,view_0021_target_01.tif,.tif,6324480,True,21.0,1.0,1544x2048,uint16,0.0,-29.58,-0.1,-29.58,-0.1,1002.0,1748.0,1390.8143310546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0021_target_02.tif,view_0021_target_02.tif,.tif,6324480,True,21.0,2.0,1544x2048,uint16,0.0,-29.58,-0.2,-29.58,-0.2,1002.0,1730.0,1390.72900390625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0022_target_00.tif,view_0022_target_00.tif,.tif,6324480,True,22.0,0.0,1544x2048,uint16,-13.1,-29.58,-13.1,-29.58,0.0,864.0,1730.0,1373.9073486328125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0022_target_01.tif,view_0022_target_01.tif,.tif,6324480,True,22.0,1.0,1544x2048,uint16,-13.1,-29.58,-13.2,-29.58,-0.1,862.0,1727.0,1372.0443115234375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0022_target_02.tif,view_0022_target_02.tif,.tif,6324480,True,22.0,2.0,1544x2048,uint16,-13.1,-29.58,-13.3,-29.58,-0.2,864.0,1755.0,1372.0975341796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0023_target_00.tif,view_0023_target_00.tif,.tif,6324480,True,23.0,0.0,1544x2048,uint16,-26.2,-29.58,-26.2,-29.58,0.0,845.0,1531.0,1138.2760009765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0023_target_01.tif,view_0023_target_01.tif,.tif,6324480,True,23.0,1.0,1544x2048,uint16,-26.2,-29.58,-26.3,-29.58,-0.1,841.0,1492.0,1135.9713134765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0023_target_02.tif,view_0023_target_02.tif,.tif,6324480,True,23.0,2.0,1544x2048,uint16,-26.2,-29.58,-26.4,-29.58,-0.2,842.0,1500.0,1134.700927734375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0024_target_00.tif,view_0024_target_00.tif,.tif,6324480,True,24.0,0.0,1544x2048,uint16,-39.3,-29.58,-39.3,-29.58,0.0,800.0,1483.0,1099.3895263671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0024_target_01.tif,view_0024_target_01.tif,.tif,6324480,True,24.0,1.0,1544x2048,uint16,-39.3,-29.58,-39.4,-29.58,-0.1,800.0,1472.0,1100.4019775390625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0024_target_02.tif,view_0024_target_02.tif,.tif,6324480,True,24.0,2.0,1544x2048,uint16,-39.3,-29.58,-39.5,-29.58,-0.2,802.0,1470.0,1099.3038330078125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0025_target_00.tif,view_0025_target_00.tif,.tif,6324480,True,25.0,0.0,1544x2048,uint16,-52.4,-29.58,-52.4,-29.58,0.0,799.0,1512.0,1098.7623291015625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0025_target_01.tif,view_0025_target_01.tif,.tif,6324480,True,25.0,1.0,1544x2048,uint16,-52.4,-29.58,-52.5,-29.58,-0.1,798.0,1476.0,1098.6859130859375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0025_target_02.tif,view_0025_target_02.tif,.tif,6324480,True,25.0,2.0,1544x2048,uint16,-52.4,-29.58,-52.6,-29.58,-0.2,800.0,1457.0,1098.6864013671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0026_target_00.tif,view_0026_target_00.tif,.tif,6324480,True,26.0,0.0,1544x2048,uint16,-65.5,-29.58,-65.5,-29.58,0.0,799.0,1490.0,1097.97509765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0026_target_01.tif,view_0026_target_01.tif,.tif,6324480,True,26.0,1.0,1544x2048,uint16,-65.5,-29.58,-65.6,-29.58,-0.1,800.0,1526.0,1097.942138671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0026_target_02.tif,view_0026_target_02.tif,.tif,6324480,True,26.0,2.0,1544x2048,uint16,-65.5,-29.58,-65.7,-29.58,-0.2,801.0,1486.0,1098.8974609375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0027_target_00.tif,view_0027_target_00.tif,.tif,6324480,True,27.0,0.0,1544x2048,uint16,-78.6,-29.58,-78.6,-29.58,0.0,799.0,1481.0,1097.0152587890625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0027_target_01.tif,view_0027_target_01.tif,.tif,6324480,True,27.0,1.0,1544x2048,uint16,-78.6,-29.58,-78.7,-29.58,-0.1,799.0,1508.0,1096.9794921875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0027_target_02.tif,view_0027_target_02.tif,.tif,6324480,True,27.0,2.0,1544x2048,uint16,-78.6,-29.58,-78.8,-29.58,-0.2,799.0,1503.0,1096.958251953125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0028_target_00.tif,view_0028_target_00.tif,.tif,6324480,True,28.0,0.0,1544x2048,uint16,0.0,-39.44,0.0,-39.44,0.0,999.0,1752.0,1388.51123046875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0028_target_01.tif,view_0028_target_01.tif,.tif,6324480,True,28.0,1.0,1544x2048,uint16,0.0,-39.44,-0.1,-39.44,-0.1,999.0,1730.0,1388.3680419921875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0028_target_02.tif,view_0028_target_02.tif,.tif,6324480,True,28.0,2.0,1544x2048,uint16,0.0,-39.44,-0.2,-39.44,-0.2,999.0,1763.0,1388.267333984375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0029_target_00.tif,view_0029_target_00.tif,.tif,6324480,True,29.0,0.0,1544x2048,uint16,-13.1,-39.44,-13.1,-39.44,0.0,851.0,1711.0,1243.2928466796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0029_target_01.tif,view_0029_target_01.tif,.tif,6324480,True,29.0,1.0,1544x2048,uint16,-13.1,-39.44,-13.2,-39.44,-0.1,851.0,1718.0,1240.9346923828125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0029_target_02.tif,view_0029_target_02.tif,.tif,6324480,True,29.0,2.0,1544x2048,uint16,-13.1,-39.44,-13.3,-39.44,-0.2,852.0,1737.0,1239.6065673828125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0030_target_00.tif,view_0030_target_00.tif,.tif,6324480,True,30.0,0.0,1544x2048,uint16,-26.2,-39.44,-26.2,-39.44,0.0,800.0,1511.0,1098.7952880859375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0030_target_01.tif,view_0030_target_01.tif,.tif,6324480,True,30.0,1.0,1544x2048,uint16,-26.2,-39.44,-26.3,-39.44,-0.1,799.0,1480.0,1098.7021484375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0030_target_02.tif,view_0030_target_02.tif,.tif,6324480,True,30.0,2.0,1544x2048,uint16,-26.2,-39.44,-26.4,-39.44,-0.2,802.0,1491.0,1099.6541748046875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0031_target_00.tif,view_0031_target_00.tif,.tif,6324480,True,31.0,0.0,1544x2048,uint16,-39.3,-39.44,-39.3,-39.44,0.0,799.0,1518.0,1098.1593017578125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0031_target_01.tif,view_0031_target_01.tif,.tif,6324480,True,31.0,1.0,1544x2048,uint16,-39.3,-39.44,-39.4,-39.44,-0.1,799.0,1516.0,1098.1080322265625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0031_target_02.tif,view_0031_target_02.tif,.tif,6324480,True,31.0,2.0,1544x2048,uint16,-39.3,-39.44,-39.5,-39.44,-0.2,799.0,1491.0,1098.0792236328125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0032_target_00.tif,view_0032_target_00.tif,.tif,6324480,True,32.0,0.0,1544x2048,uint16,-52.4,-39.44,-52.4,-39.44,0.0,798.0,1486.0,1097.5230712890625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0032_target_01.tif,view_0032_target_01.tif,.tif,6324480,True,32.0,1.0,1544x2048,uint16,-52.4,-39.44,-52.5,-39.44,-0.1,799.0,1481.0,1097.5267333984375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0032_target_02.tif,view_0032_target_02.tif,.tif,6324480,True,32.0,2.0,1544x2048,uint16,-52.4,-39.44,-52.6,-39.44,-0.2,800.0,1525.0,1098.50537109375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0033_target_00.tif,view_0033_target_00.tif,.tif,6324480,True,33.0,0.0,1544x2048,uint16,-65.5,-39.44,-65.5,-39.44,0.0,796.0,1479.0,1097.1942138671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0033_target_01.tif,view_0033_target_01.tif,.tif,6324480,True,33.0,1.0,1544x2048,uint16,-65.5,-39.44,-65.6,-39.44,-0.1,799.0,1498.0,1097.1690673828125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0033_target_02.tif,view_0033_target_02.tif,.tif,6324480,True,33.0,2.0,1544x2048,uint16,-65.5,-39.44,-65.7,-39.44,-0.2,798.0,1495.0,1097.122802734375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0034_target_00.tif,view_0034_target_00.tif,.tif,6324480,True,34.0,0.0,1544x2048,uint16,-78.6,-39.44,-78.6,-39.44,0.0,798.0,1496.0,1096.643310546875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0034_target_01.tif,view_0034_target_01.tif,.tif,6324480,True,34.0,1.0,1544x2048,uint16,-78.6,-39.44,-78.7,-39.44,-0.1,797.0,1496.0,1096.633056640625,0.0,ok
